1	开幕典礼
platforms	支援平台
narrated by	旁白
platformno	月台类型
functional status	保护状况
reserve personnel	备役人数
nominator	提名者
surpassed by	继任
function	function
drivers' championships	车手
region_type	地区
blocks	区
also available for	亦提供给
observances	风俗
branches	branches
garrison	派驻单位
coach	教练
blood type	血型
head of state	国家元首
former skating club	曾效力的俱乐部
service	所服务机构
last test	last test
related brands	相关品牌
mascot	mascot
type of incident	事故类型
latin	latin
system(s)	方法
originated as	起源自
archbishop	大主教
enthusiast	旗舰gpu
conservation status	保护状态
continentalcup3	continentalcup3
continentalcup4	continentalcup4
continentalcup1	continentalcup1
continentalcup2	continentalcup2
signature	签名
contractor	contractor
leaders	领导人
enrollment	学生人数
connection	连接
ridership	平均载客量
choir height	choir height
vice-president	副校长
individual wins	冠军
regime	轨道类型
prior history	既往案件
died	逝世
formation	设立
region	区域
news editor	新闻主编
participating years	参赛年份
event_type	项目
video/movie recording	录像
former names	前频道名称
succeeded by	继承者
relaunched	复刊日
former name	former name
rank	等级
racquet used	装备
first built	建造时间
tenacity	韧性/脆性
retired	退休
latest meeting	最近对赛
release date(s)	发行日期
previous occupation	之前职业
fatalities	死亡人数
battle_honours_label	战斗荣誉
significance	意义
instrument_3_name	instrument_3_name
max. length	最长范围
alcohol by volume	酒精度
nrhp reference #	nrhp编号
transparent compression	透明压缩
location	地点
venue(s)	比赛场馆
completion	完成于
pop_density	pop_density
student wing	学生组织
battles and wars	战役、战争
collecting area	集光面积
represented by	代表
random chance	运气成分
title years	title years
dissolved	停播日期
cup3	cup3
cup2	cup2
cup5	cup5
cup4	cup4
radio programs	广播剧
cup1	cup1
cup6	cup6
position	场上位置
race	种族
codename(s)	代号
update method	更新方式
seating arrangements	座席
right tributaries	右侧支流
introduced	推出
number of films	电影数目
convicted	定罪
unit of	属于
number of employees	雇员
influenced by	受影响于
argument	辩论
type of site	网站类型
captain	队长
seats6_title	seats6_title
structural system	结构系统
lyrics	作词
course(s)	球场
baggage facilities	行李设施
season	season
college team	大学队
olympic games	奥运会
successor	successor
made in	产地
years12	years12
years11	years11
years10	years10
years19	years19
years18	years18
years17	years17
years16	years16
years15	years15
years14	years14
years13	years13
players	玩家数目
classification	宗派
main sponsor	main sponsor
years20	years20
certification	认证
minister_title	部长
signature	签名
open to the public	公众开放
frame	构架尺寸
architectural styles	建筑风格
ordination	晋铎
coach(es)	总教练
design firm	设计公司
former partner(s)	前任搭档
affiliated university	大学
leader2_title	leader2_title
other short titles	其他短称
catering facilities	餐饮设施
branch(es)	支流
opposition_party	反对党
basin	流经
unpaid circulation	滞销量
former editors	编辑
construction	建设时间
no. of tracks	轨道数量
official language	官方语言
country_type	国家
engine suppliers	引擎供应商
host city	举办城市
safety systems	安全系统
architectural type	建筑类型
characters	系列角色
stance	惯用手
leader1_type	leader1_type
procedural history	案件程序
artist	艺术家
name origin and meaning	名称起源 及含义
number of teams	球队数目
previous names	先前名称
duration	时间
builder	建造者
legal status	地位
born	出生
displacement	排气量
system length	系统长度
association	协会
first odi	first odi
arwu_eng	arwu_eng
first tournament	first tournament
lake_type	水体体积
modern name	今用名
opening	开张日期
festival date	举行日期
chamber	燃烧室
legislature term(s)	任期
tracks	轨道数量
placeofburial_label	安葬地点
primary	主要
primate	大主教
directory contents	目录内容
term limits	连任限制
separations	分离
latest version	版本
file allocation	文件分配
professional wins	职业胜场数
literary movement	文学运动
followed by	续作
years of service	服役年份
tibetan	藏文
commissioner	commissioner
college	就读大学
number of species	物种
notes	备注
statistics	系
members	成员
opinion editor	社评编辑
no. of seasons	季数
other club(s) from	其他地区
opening date	开幕日期
size	尺寸
catalog number	catalog number
processor	处理晶片
associations	组织
tv partners	电视转播
implementation language	implementation language
mission statement	宗旨
also called	别名
status in legislature	司法状态
vice-chancellor	校长
genre(s)	类型
date of birth	出生日期
coached by	教练
final entry	最后出赛
no. of locations	据点数量
education	教育程度
power output	牵引功率
aspiration	吸气方式
picture format	picture format
total sets	总套数
elevation	标高
dissolution	解体
number of stations	车站数量
construction engineer	工程师
blog	博客
peak year	高峰年份
ski club	俱乐部
other posts	其他职位
longest drop	最大落差
location	地点
prior	前身
application	目的
runners-up	亚军
music by	音乐
conference	分区
created by	创办人
marketed by	销售
previous gauge	previous gauge
victims	受害者
reference no.	来源 编号
named for	地名渊源
web address	网址
released	发行日期
camera setup	机位
established_title	established_title
bits	字长/暂存器资料宽度
abilities	能力
services engineer	服务工程
relinquished	废止
main industries	主要产业
nations participating	参赛国家
course type	赛场类型
rear lcd monitor	lcd 显示器
measurements	三围
opposed to	对立
instrument_7_name	instrument_7_name
economic aid	经济援助
designated date	指定时间
successors	继承算法
captured	被捕
notable characters	知名人物
image processor	图像处理器
conferences	分区
father	父亲
southern end	南起讫站点
highest ranking	最高排名
academic staff	教师
properties	属性
completion date	完工日期
early forms	早期形式
notable members	主要成员
origin	起源
religion	信仰
principal_label	校长
abbreviation	简称
debut	出道日期
first race	第一场
land area	陆地面积
other occupation	其他职业
category	类别
heritage status	保护状况
quotation	名言
emblem(s)	队徽
presidential nominee	总统候选人
dancers	dancers
first nuclear weapon test	首次核弹试验
province	教省
year of invention	发明年份
dana classification	戴纳矿物分类
voices	voices
market share	市场份额
from	韧带起点
final ruler	最后统治
suspension	suspension
other designers	其他设计师
dates of operation	营运日期
seats	议员
dates excavated	发掘日期
rebuilt	重建
wins	胜出
arwu_med	arwu_med
length of term	任期
keydocument2	授权法源
full case name	案件全名
geographical range	地理范围
number of records	number of records
location	地点
leader1_title	leader1_title
spouse(s)	配偶
olympics	olympics
became	演变为
playing time	游戏时间
confederation	所属协会
titles	titles
distances	距离
design engineer	工程设计
beds	病床
burial	葬于
abandonment	废弃
buried	葬于
notable aliases	重要别名
last t20i	last t20i
annual generation	年发电量
ownership	ownership
viewfinder magnification	放大倍数
cause of  death	死因
governor	州长
major junctions	主要接点
average home league attendance	平均观众
official site	官方网站
role	功能
arwu_sci	arwu_sci
markets	目标市场
treasurer	treasurer
height	身高
rolling stock	使用车辆
roof	屋顶
rows	列
demolished	清拆
active years	活跃年份
value of cargo	货物价值
launched	推出时间
television series	电视剧
no contests	未赛
exports	出口
network	转播商
employer	单位
primary languages	主要语言
deployed personnel	部署人数
defunct	废除
constructors	赛车制造商
date range	日期范围
city_type	定居点
bells	bells
predecessor	predecessor
date released	发表日期
dns name	dns名称
footnotes	脚注
former choreographer	前任编舞指导
most successful	most successful
biggest home win	最大主场胜差
chrtitle	chrtitle
current head	现任家长
base	所在地
departure	离陆时间
part of	隶属于
genres	类型
supplies	supplies
combined total	总分
drivers	车手
produced by	制作人
before statehood	建州前
last nuclear test	最后一次核试
cultures	文化
mid-range	中端gpu
relegation	降班至
begins	开始日期
operating season	开放时间
formerly called	前称
political_party	所属政党
citizenship	公民权
discovered	发掘于
editor-in-chief	主编
unofficial_users	流通货币
symbol	符号
previous name	先前名称
ended operation	结束运作
wheel diameter	轮径
data structure	数据结构
reports to	负责
derived from	衍生自
main import partners	主要进口伙伴
first entry	首次出赛
date of act	决定建设日期
custom_label_1	custom_label_1
custom_label_2	custom_label_2
song	获胜曲
criteria for collection	收藏标准
stat2label	stat2label
assembly	assembly
production company(s)	制作公司
retirements	退役
relegated	降班
governing body	管理部门
caps	出场最多球员
source model	源码模式
shrines	朝圣地
sport country	国籍
parent department	上属机构
girlfriend	女友
countries	countries
coin toss	掷硬币
commander_title	参谋长
non-fatal injuries	受伤人数
date apprehended	抓捕日期
total assets	总资产
award(s)	所受奖励
voting system	投票制度
zip code	邮政编码
manufacturer	制造商
graphics	绘图
last odi	last odi
os_grid_reference	os_grid_reference
composed by	composer
instrument_8_name	instrument_8_name
since	首长上任时间
arwu_soc	arwu_soc
prize money	奖金
short stories	短篇小说
sport	运动
executive producer(s)	制作
formerly	formerly
podiums	领奖台
color	颜色
fields	研究领域
most awards	获奖最多
parishes	教区
rector	校长
trophy	奖杯
previous_post	曾任职位
present location	现存于
commands held	统率
online services	线上服务
partners	合伙人
total width	宽度
school	学派
start of development	开发
deaths	死亡
institutions	任职于
instrument_1_name	instrument_1_name
man_of_the_match1btitle	man_of_the_match1btitle
service name	服务名称
similar creatures	相似生物
ballpark	ballpark
developed	起源
foundation	成立日期
image sensor maker	图像传感器制造商
developer	developers
label	唱片公司
script editor	剧本编辑
boyfriend	男友
created cardinal	任命枢机
top speed	top speed
magnesium (mg)	镁（mg）
enlisted	策谋
max temperature	最高温度
feeder to	补充至
international affiliation	国际组织
commencement	生效日
mvp	mvp
address	地址
division	部区
personal best(s)	个人最佳成绩
abolished	终止
style	尊称
allegiance	效忠
closed	关闭
comics	漫画
patronage	主保
editor(s)	剪辑
product type	类型
mgrtitle	mgrtitle
size	尺寸
main character(s)	主要角色
flash	闪光灯
disabled access	无障碍设施
campus	校区
spouse 2	妻子
appointed	任命
appointer	任命者
weapon(s)	项目
receipts	竞选捐款
expansion team(s)	扩张队伍
image_coa	image_coa
building	建筑
tv partner(s)	电视转播
earlier versions	之前版本
fleet size	车队规模
head coach	主教练
design based on	设计依据
world standing	世界排名
main venue	主场馆
initial release	初始版本
running time	每集长度
subdivision_type	subdivision_type
floor area	建筑面积
best era	防御率王
highest winds	最高风速
total islands	岛屿数
width	宽度
density	密度
chancellor	校监
clinic review	医师诊断
record	赛绩
budget	预算
impact	冲击
school district	地区
piers	直码头
world height ranking	世界落差排名
shore length<sup>1</sup>	岸长<sup>1</sup>
dome height (outer)	穹顶高度（外侧）
branch	branch
writer	词曲
penalty	刑罚
philosophy	哲学
succession	继任
tournament format(s)	赛制
versioning	版本
headquarters location	总部
sports fielded	队伍人数
ordained	授予圣职
major exhibits	主要展览
dimension	尺寸
stations	车站
foaled	出生
choreographer	编舞指导
spelling	贸易组织
added to nrhp	收录日期
career title(s)	冠军头衔
affiliation	国际组织
postgraduates	研究生
bicycles	自由车
distinctions	殊勋
speed_mph	speed_mph
class	分类
identification_symbol_2_label	二式佩章
developer(s)	开发者
heritage designation	保护单位
written by	编剧
written in	编程语言
end point	终点
largestcity	largestcity
facilities	设施
number of temples	庙宇数量
added	列名时间
engine type	发动机
sire	父系
site	地点
affiliated with	相关人物
movies	电影
government	government
mission duration	任务时长
projects	项目
etymology	词源
speed	速度
bicarbonate (hco<sub>3</sub>)	碳酸氢盐（hco<sub>3</sub>）
active	活动年代
causes	起因
export goods	出口货品
founder(s)	创办人
original work	最初作品
most doubles titles	最多双打头衔
company slogan	公司口号
area_km2	area_km2
original title	原名
managed by	管理者
designation	designation
population	人口
articulations	关节
darts	用镖
seats4_title	seats4_title
potassium (k)	钾（k）
jurist term ends	法官卸任时间
optical properties	光学性质
fastest lap	最快圈速
prime mover	传动装置
designations	指定
chair	主席
other name	其它名称
excavation dates	发掘时间
total	总计
discharge	平均流量
team manager(s)	赛事总监
vehicles per day	每日车流量
diseasesdb	diseasesdb
available berths	现有泊位
top scorer	最多得分
country of origin	国家
theatre seating	剧场座椅
providers	providers
resort type	度假村类型
top scorer	最多得分
spire height	尖塔高度
branding	品牌
settlements	周边城市
dates	比赛日期
telescope style	望远镜类型
credit expiry	有效期限
precursor	前身
mythology	神话
trains	列车
proper name	正式名称
compartment	基地
best result	最佳成绩
depth	深度
seat	所在地
territory	区域
number of bars	酒吧数量
commander-in-chief_title	最高统帅
sect	教派
torse	花圈
material	材质
top goalscorer	最佳射手
thrust	推力
man of the match	man_of_the_match1atitle
camera	camera
current region	现分布
capacity	载客量
status	状态
wavelength	波段
home world	世界
consecration	晋牧
official language(s)	官方语言
teacher(s)	师傅
event type	项目种类
audience capacity	观众人数
starts	起步
main stadium	比赛场馆
spire	尖塔
next time	日期
spike	扣球高度
birth control type	生育控制种类
architect(s)	建筑师
women's doubles	女子
derivative forms	延伸曲风
host(s)	主持
first use	初次使用日期
nonus	着色师
period/culture	时期或古文明
size of harbor	大小
women	女子
champions	冠军
prev series years	prev series years
broadcasters	broadcasters
service/branch	军种
field size	草坪面积
touchpad	触控板
ranking	积分排名赛
web site	官方网站
target	目标
longest tunnel	最长隧道
established events	established events
burn time	燃烧时间
member of	组织成员
contracted lead designer	首席设计师
dress size	女装尺码
facebook	facebook
past bishop(s)	重要前主教
mill location	风车位置
lowest attendance	最少观众
habitat	习性
publication date	出版日期
axle load	轴重
former member(s)	过往成员
total fatalities	总死亡事故
base(s)	基地
controversy	相关议题
screened on	播出
batteries	动力
locale	营运地区
translation	translation
time period	使用时期
catalogue	商品类型
number of words	词汇数
most wins	最多获胜
referee	裁判
legacy	成就
theme	主题
notable people	主要人物
river sources	河流源
animation by	动画
battery	电池
establishment	建立
area served	服务范围
former training locations	以前的训练地点
max. number of files	最大文件数量
technology	技术
domestic suppliers	本国供应商
identification_symbol_4_label	四式佩章
non-ranking	非积分排名赛
composer(s)	作曲
date resolution	日期分辨率
open	开幕
most points	得分最多球员
largest cities	最大城市
demolition date	拆除
electrified	电气化方式
matches played	比赛场数
assistants	助理教练
discontinued	停产日期
ceased	解散
title as saint	圣人称号
expenses	支出
screenplay by	萤幕剧本
most stolen bases	盗垒王
publications	出版物
built	施工
pop. density	人口密度
net income	净收入
motion capture	动作演员
coronation	谥号
instrument_2_name	instrument_2_name
official religion	信仰
gdp growth	gdp增长
start	起始
intended use	预期使用
annual imports	年进口
seats5_title	seats5_title
injuries	受伤
original owner	最初运营者
number	球员号码
headquarters	总部
access requirements	借阅凭证
postal_codes	postal_codes
technical director	技术指导
staff	职员人数
photo editor	摄影编辑
titles amended	法卷修订
perfect use	完美使用
charges	指控
former operator(s)	前营运商
publication types	出版类型
first rally	第一次参赛
number of restaurants	餐厅数量
breeder	生产者
creator	创造者
largest metro	最大都会区
general contractor	总承包商
eyes	眼睛
opening ceremony	开幕典礼
runners-up	亚军
viewership	viewership
import goods	进口货品
divisions	级别
venues	场馆
vessel arrivals	靠港船只
date created	创造日期
imports	进口
codename	codename
editors	编辑
date founded	创建时间
construction started	起造日期
collapsed	毁坏日期
last rally	最后一次参赛
began skating	出道
team affiliations	所属团队
walk-on music	过场音乐
quantity surveyor	工料测量师
rated at	分级
instruments	乐器
unions	协会
billed height	身高
captain(s)	队长
leader4_title	leader4_title
extinction	废止时间
production company	公司
pricing model	售价
production	production
patron	冠名自
class1	class1
disbanded	解散日期
annual visitors	每年游客人数
first awarded	首次颁发
discovery site	发现地
<nowiki />	时区
seat1_type	seat1_type
illustrator	插图
visitation	参观人数
history	历史
turnedpro_type	转为全职
major islands	主要岛屿
most strikeouts (as pitcher)	三振王
dates recorded	日期记录
manager	manager
current occupation	目前职业
included with	内置系统
previous owners	前任持有者
merger of	合并自
alternative name(s)	其他名称
cooling system	冷却系统
dissent	不同意见
affiliations	隶属
contributions	贡献
categories	类别
languages	语言
maintained by	管理
temporal coverage	temporal coverage
pinyin	汉语拼音
area_code_type	area_code_type
instrument_6_name	instrument_6_name
geology	地质
lap record	最快圈速
transmission	transmission
stops	中途停站
sister systems	姊妹书写系统
other name(s)	其他名称
official website	官方网站
setup time	准备时间
personal best	个人最佳成绩
instrument_4_name	instrument_4_name
sports editor	体育编辑
composers	音乐
controller input	控制器输入
curation policy	管理政策
spouse	配偶
redistricting	重划选区
grade	坡度
town or city	市镇
partnerships	伙伴关系
operators	运营商
first holder	首任
gauge	轨距
next meeting	即将对赛
founded title	成立时间
march	队歌
literary works	文学作品
remarks	注释
tender weight	煤水车重量
omim	omim
general manager	总经理
most capped player	最多上阵球员
estimated gas in place	预计天然气储量（十亿立方米）
prior history	既往案件
former coach	前任教练
associate editor	副主编
number of clusters	星系团数目
baptised	受洗
professional	职业生涯
ends	结束日期
territorial extent	适用地
launch date	开播日期
union	协会
uci code	uci代码
channel	频道
responsible body	管理者
political position	政治立场
fit for military service	适合服役人数
past commanders	历任指挥官
video format	视频格式
twitter	twitter
thes_n	thes_n
thes_w	thes_w
number of animals	动物数量
sound	音效
champions	冠军
organizations	组织
volume	体积
story by	故事标签
earnings	奖金
main export partners	主要出口伙伴
original music	原创音乐
quashed	撤销
seats1_title	seats1_title
syndicates	同步转播
ending theme	片尾曲
date(s)	日期
first issue	首发日期
principal engineer	主要工程师
profession	职业
materials	结构
stadium	体育场
connected families	相关家族
area of operations	活动地区
cause of death	死因
anthem	anthem
area rank	面积排名
fuel	燃料系统
associated people	重要相关人物
discovered by	发现者
latest release	最新作
susperps	嫌疑犯
highest elevation	最高海拔
security class	安全级别
designated	制定
track gauge	轨距
associated l/v	associated l/v
documents	相关文件
armiger	使用者
cost of 30-second commercial	30秒广告价
riders per row	每列乘坐人数
start point	起点
max. file size	最大文件尺寸
first event	首届赛事
sources	分类 （来源）
currently	现任
voices by	配音
marital status	婚姻状况
voices of	配音
most games	出场最多球员
structure	车站类型
translator	译者
valvetrain	配气机构
theology	神学
annual budget	年度预算额
postal code	邮政编码
torque	torque
favorite	赔率
design date	设计时间
handedness	握拍
blank4_name	blank4_name
director	主管
biggest away win	最大作客胜差
title(s)	冠军头衔
website	网址
archaeologists	考古学家
address	地址
connectivity	连接介面
classroom-style seating	教室式座位
player of the series	最佳球员
attraction type	设施类型
high-end	高端
team	队伍
american	american
property damage	财产损失
date dissolved	解体
units sold	销售台数
instrument_5_name	instrument_5_name
finished last season	最后赛季
turns	弯道
fuel type	燃料
language(s)	语言
anniversaries	纪念日
boiler pressure	锅炉压力
engines	引擎
flavor	口味
sponsor	赞助商
urban	市区
home town	家乡
controlled by	运营单位
inquest	审讯
previous	前任
scoring leader(s)	得分王
weapon	武器
named by	命名
input	输入
national coach(es)	国家队教练
hazards	危害
addresses	地址
total attendance	总入场观众
school or tradition	学派/学说
final holder	末任
current status	现状
chairman	chairman
feedstock	原料
major	major
based in	根据地
absorbed	吸收
species	种族
dedicated date	时间
director(s)	导演
consort	王后
athletics	校队
footnotes	脚注
methods	方法
most titles (male)	最多头衔（男子）
average speed	平均速度
area	面积
formed	形成日期
services	服务路线
renovated	重修
best player	最佳球员
residence	住所
first meeting	首次对赛
to	韧带终点
total eva time	eva时间
copyright	版权
managing editors	执行主编
gender	性别
start date	开始日期
employees	雇员
genre	类型
seats3_title	seats3_title
youthclubs3	youthclubs3
youthclubs2	youthclubs2
training locations	目前的训练地点
surface area	表面积
nearest city	最近城市
periods	周期
unofficial user(s)	流通货币
time	时间
year of current production of gas	年份
census yr	census yr
most player appearances	上阵次数最多
platform	平台
format	格式
peak	山峰
allies	盟友
number of lines	路线数量
maker	制造商
site area	占地面积
closing film	闭幕电影
flag	旗帜
sponsors	承建商
course records	course records
unicode alias	书写方向
operation(s)	参与行动
no. of episodes	集数
vehicles	车辆数量
campaign	竞选
no. of books	数量
notable books	有关书籍
pets	宠物
colourist	着色师
type of format	格式
number of issues	发行期数
administrator	administrator
main contractor	主承包商
deputy	副手
toll	收费
promoted	升班
color process	色彩处理
trained by	指导教练
major operators	主要运营商
thrust (vac.)	推力（真空）
nuclear program start date	核武研究计划始于
lowest pressure	最低气压
country2	country2
units shipped	出货台数
battles	战斗
billed weight	体重
league(s)	联盟
dependencies	属国
load limit	最大负载
process type	类型
tour	tour
original air date	首播日期
max. filename length	最长文件名
superintendent	监管
group	类别
features	特色
total fights	总比赛数
satellite of	环绕对象
featured music	配乐
collar	领码
population_blank2_title	population_blank2_title
playing position	位置
national affiliation	国内组织
auto recharge	自动储值
production code	制作代码
sub&#8209;themes	子系列
titles/honours	头衔
headquarter	headquarter
circuit length	赛道长度
ethnic group	民族
language	语言
preceding1	preceding1
child systems	子书写系统
salary	薪资
instrument_10_name	instrument_10_name
planet	planet
colors	colors
reversibility	可逆性
ceased operations	终止运营
alumni	alumni
current commander	现任指挥官
cap	最多帽子
children	子女
reference	编号
annual cargo tonnage	年货物吨位
bus	卫星平台
inker(s)	钢笔画
grandsire	祖父
created from	前身
resting place	埋葬地
assistant coach(es)	助理教练
first published	首次发布
preceded by	前作
staff writers	作者群
number of letters	字母数
prize fund	总奖金
main interests	专注领域
main contractors	主承包商
career record	职业战绩
value	面值
resides	现居地
annual revenue	年收入
update frequency	update frequency
best finish	最佳成绩
card rank (highest to lowest)	牌的大小(由大至小)
date closed	关闭日期
subsequent history	后续案件
aum	资产管理规模
presented by	主持
podium finishes	颁奖台
brightest member	最亮天体
constituting instrument	法律文件
product family	产品家族
litigation	起诉
case type	案件类型
nationality of parties	双方国籍
temperature	温度
